# x			y			z			vx			vy			vz			m
-7.139147120601119e-03 -2.792019830318904e-03  2.061825704683572e-04  5.374261885473961e-06 -7.410966640098344e-06 -9.422892899203370e-08 1.998e30
3.996320681110832e+00  2.932561823012092e+00 -1.016168451332412e-01  -4.558099510764580e-03  6.439346715906696e-03  7.536243379766188e-05 1.8988e27
6.401418058908803e+00  6.565252439589429e+00 -3.689199086691115e-01  -4.285743775521677e-03  3.884169867203816e-03  1.027826777848792e-04 5.685e26
1.442338133008372e+01 -1.373844069614078e+01 -2.379185362018485e-01 2.683753457289004e-03  2.665032941399753e-03 -2.487077052909901e-05   8.6625e25
1.680362717435433e+01 -2.499545061246260e+01  1.274832850715902e-01 2.584745162555315e-03  1.769356439106874e-03 -9.600253692009506e-05   1.0278e26
-9.884002870123060e+00 -2.796080827445471e+01  5.851004954719752e+00  3.034076901648592e-03 -1.545334774680256e-03 -7.122692805748238e-04 1.1314e22


#MEANING OF ROWS:	x in AU, y in AU, z in AU, vx in AU/day, vy in AU/day, vz in AU/day, mass in kg.
#MEANING OF COLUMNS:	Sun, Jupiter, Saturn, Uranus, Neptune, Pluto.
